文物采样点,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2),类型,表面风化
01,3.0459784127832172,0.0,1.1086852924892803,0.6508199079875843,-1.3321613675046895,0.17574012570998795,-0.6390141869447442,0.1603552068705086,0.0,0.0,-1.0358955513615173,0.0,0.0,-2.134507840029627,高钾,无风化
02,2.676663639586127,0.0,-0.8658128214913766,-0.06445205629119863,-0.7490885471832354,0.8311125450658396,-0.29402649793569874,-2.261676633627418,2.9446519542286818,0.0,0.35796261013073905,-2.5753341924824595,0.0,0.0,铅钡,风化
03部位1,3.5861593955432602,0.0,0.7664104265068593,-0.18218854859995365,0.0,0.5208597029427032,0.0,-1.1287846299694375,-2.2666176317908286,0.0,-1.2958387146326038,0.0,0.0,0.0,高钾,无风化
03部位2,3.0906986955431925,0.0,1.4835268896146134,0.7381073370502222,-0.92738728146554,0.6730007954486424,-0.26163907509370915,0.5955305337726485,-0.6881575923997061,0.019074328041978186,-1.3884222407285154,-3.3343323897838286,0.0,0.0,高钾,无风化
04,2.968763507517698,0.0,1.0499569116734617,0.7438363276321431,-0.7743855765302955,0.643457142324521,-0.49636541499025155,-0.43974652099074363,0.0,0.0,-1.4547937313128112,0.0,0.0,-2.240722645323723,高钾,无风化
05,3.159145634792592,0.0,1.4321479485587474,1.033508805520983,-0.3902119611180246,1.0537115128385024,0.001982810069243182,0.22359847720539971,0.0,0.0,-1.0230669114218498,-3.774602224463799,0.0,-1.7162140919817952,高钾,无风化
06部位1,3.310991410356829,0.0,1.0940617619412771,0.0,-0.22025909955352424,1.5080835536461596,-0.03206257831654883,0.016926808883724265,-2.5127938566940684,-0.5812724450908549,0.5269553022766967,-3.110630857449689,0.0,0.0,高钾,无风化
06部位2,3.0407186009264904,0.0,0.9881652770296052,0.6377948227284147,-0.502332861620288,1.2571183643751094,0.7479497418167481,-0.2711293933289778,-2.1002763946286533,-1.080913477614684,0.4536231266462986,-3.1707178063300665,0.0,0.0,高钾,无风化
07,3.8304982761819732,0.0,0.0,-0.6304561386101479,0.0,-0.015017942377519009,-2.470071629015838,0.4774585427202752,0.0,0.0,-1.1924111088987428,0.0,0.0,0.0,高钾,风化
08,1.4405462220934837,0.0,0.0,-1.1701195774209088,0.0,-1.2694920512341124,0.0,0.780605217429945,1.794038350534487,1.8792175060980547,-0.284009462696745,-2.5564139385407993,0.0,-0.6143722662634064,铅钡,风化
08严重风化点,-0.1313528700969657,0.0,0.0,-0.49955981030876984,0.0,-1.5552207117812802,0.0,-0.515357927185361,1.8201197160445761,1.762072663124015,0.36329046308591867,-2.2944589995414924,0.0,1.05046747665936,铅钡,风化
09,4.257651808247947,0.0,-0.8240683295931999,-0.7744713884538278,0.0,-0.018803850912548402,-1.4358698706991928,0.14181934342032743,0.0,0.0,-1.3462577120095056,0.0,0.0,0.0,高钾,风化
10,4.372977094682502,0.0,-0.2827415431493996,-1.760007682475017,0.0,-0.4100809655260011,-1.546433582176958,-0.37371332135512647,0.0,0.0,0.0,0.0,0.0,0.0,高钾,风化
11,2.2530308359529676,0.0,-2.8218453159359025,-0.005581530193459508,-1.60368787661801,-0.2716563740574862,0.0,0.3341414203833648,1.9731578280453532,1.4205086580913742,0.9773821953468994,-2.2554498410151007,0.0,0.0,铅钡,风化
12,4.264655312891307,0.0,-0.2717694957331111,-0.6102238935583152,0.0,0.09671660913396597,-1.5195941825878965,0.21905546132621007,0.0,0.0,-2.1788398114721605,0.0,0.0,0.0,高钾,风化
13,2.266608606676955,-0.7602766895603612,0.7170274545158545,0.3522247112684156,0.0,0.006978463153305945,-0.7533080202442679,-0.25717311188828074,0.0,0.0,-1.5720814139216226,0.0,0.0,0.0,高钾,无风化
14,3.236992580143531,0.32018184813297945,1.6102780613570484,1.2100921533270306,-1.3132093053236138,1.3247651871528128,-1.5908410419218932,-1.6527164456399808,-0.41526771211765523,0.0,-2.730275325110258,0.0,0.0,0.0,高钾,无风化
16,3.712287605074901,0.27707227639486276,2.2106619410621358,1.6477694407010854,-1.1187915357411786,1.3564532031350849,-1.3323656360392375,-0.3972064198606996,-2.6721399815242353,0.0,0.0,-3.683740893202715,0.0,0.0,高钾,无风化
18,3.4230559722648684,0.0,1.290637310466687,0.0,-0.5269300427172405,0.16294381249773565,0.0,0.0,0.0,0.0,-0.644713078373624,-3.611457815054363,-0.09353615908406603,0.0,高钾,无风化
19,2.1189867295537717,0.0,0.0,-0.19513564784513843,-1.7977708129564862,0.002427524917433215,-0.984959128640452,-0.014522033396340056,2.4868672122874225,0.40695849003380064,0.9080169437417543,-2.9308692776957654,0.0,0.0,铅钡,风化
20,1.8595235901293778,0.0,-2.10356733217804,0.0,0.0,-0.06546141455611128,-1.348967372404431,-0.1966364767278994,0.46893737692794635,1.3980487972311628,-0.011877168422004942,0.0,0.0,0.0,铅钡,无风化
21,3.1468418213169156,0.0,0.0,0.35688881116779814,-0.9939482381153631,0.6301359898359766,-0.3299091417134884,-0.0049556744644759865,-1.1927990968605282,-0.5147655541106311,-1.0974889170562034,0.0,0.0,0.0,高钾,无风化
22,4.234402305573028,0.0,-0.5922884938561418,0.21563420129623168,-0.7374705037006395,0.9615795674231479,-1.341005525570898,-0.8890204018278404,0.0,0.0,-1.8518311493368886,0.0,0.0,0.0,高钾,风化
23未风化点,2.8004968538905177,0.8848004834317013,0.0,-1.8777379029545787,-1.5270810313414094,-0.833933850781464,0.0,-0.08931733499203821,1.647445458488568,1.2885806711749461,0.0,-2.293253346916244,0.0,0.0,铅钡,无风化
24,2.2280451668917576,0.0,0.0,-1.9908365601731417,0.0,-0.7720799596629687,0.0,0.899535197723023,2.1362978248719497,2.0310898179836734,-3.2019268322679415,-1.3301246553663502,0.0,0.0,铅钡,无风化
25未风化点,3.166163935448337,0.07926227475605266,0.0,-1.2200207093742081,0.0,-0.1161313636052547,-0.3197303188464941,-0.6446565644706462,2.7046207600131495,1.1366316048901133,-2.4187164565993005,-2.36742316221175,0.0,0.0,铅钡,无风化
26,1.515670176312238,0.0,0.0,-1.1048634697143274,0.0,-1.826181527240969,0.0,0.8885132165799099,1.9159001124535948,2.0040114599395453,-0.32847357875017463,-2.268014279520008,0.0,-0.7965621100598106,铅钡,风化
26严重风化点,-0.08650620625797609,0.0,-2.3165206064171864,-0.2982897957822471,0.0,-1.234715436065458,0.0,-0.11929602908096701,1.9982972785632451,2.1678933784351053,0.39817413740369234,-1.8782656754860312,0.0,1.3692289546878222,铅钡,风化
27,4.162084389675391,0.0,0.0,-0.42937521307419296,-0.9836859487799224,0.552782943787587,-1.9769377217902058,0.06428260706943219,0.0,0.0,-1.389151056888087,0.0,0.0,0.0,高钾,风化
28未风化点,3.937306648664378,0.0,-1.6304504835673501,0.009292778362079375,-0.2833768356007408,1.2641856731152723,-1.1749749548845243,-1.3920394601223518,2.558038077568893,1.112867856372318,-0.24415612244745943,-2.4036403718008317,-1.7530528056596824,0.0,铅钡,无风化
29未风化点,3.5276343041269547,-0.7036326339622265,-1.8242238293491118,0.4716722754941375,-0.22147490506580783,2.0428018101482985,-0.8309720563388281,-0.9213561178070971,1.8901609151731866,0.08778476803052017,-1.5118491443069593,-2.0065453861430664,0.0,0.0,铅钡,无风化
30部位1,2.374571955237141,0.0,-0.8181491958421119,0.34011380152197435,-1.181941607549708,0.3084369448684039,-0.4103228115482675,0.0,2.5074479205360114,1.1694336496137694,0.0,-2.2115610247308664,-2.0780296321063436,0.0,铅钡,无风化
30部位2,2.4595027203031603,0.0,0.0,0.2950417606825548,-1.8228660618250774,0.20114567491542787,-0.14156358816133272,0.0,2.4811990313790924,1.1874650111500664,-0.8059318041712349,-1.8834906836415122,-1.9705020606311419,0.0,铅钡,无风化
31,3.2189139566582163,0.0,0.0,-0.4993725891606766,-1.0859100346623638,0.16524650778473043,0.5545038056660415,-1.7903567704762424,1.8370098834166597,0.26026433266810145,-0.4869500691621194,-2.1733490227323484,0.0,0.0,铅钡,无风化
32,3.871521333072158,0.0,-1.9334701946908177,-1.1493512359251457,0.0,0.48583917261136933,-0.37282244642614937,-2.5800973596158703,2.6108372458935727,1.2123227734389064,-2.1447792883580243,0.0,0.0,0.0,铅钡,无风化
33,3.8698743664561355,0.0,-2.35151071624508,-0.900677833987618,-0.45439073135919844,0.40002459679686914,0.0,-1.2094133156372313,2.328148321733751,0.8125568721281259,-2.4946115598857532,0.0,0.0,0.0,铅钡,无风化
34,3.0141569504635037,0.0,-1.9495264887369599,-0.811693486915569,0.0,-0.08080597837277653,-1.3182547118951022,-0.15112247679023635,3.277294876106007,1.7393529653769764,-1.6420417889889993,-2.077359860246845,0.0,0.0,铅钡,风化
35,3.6953433971106486,0.0,0.0,-1.4605308042156855,0.0,-0.12830366436607069,-2.264903619885855,-2.32552824170229,2.600365823938875,1.24400445477908,-1.3604473456587032,0.0,0.0,0.0,铅钡,无风化
36,3.4601264371013873,0.5795623775882424,-2.1840576746687783,-1.2121970916398126,0.0,0.2520588109497899,-1.3573791014843106,-0.6036072991079304,3.510395704698904,2.1643752427169534,-2.8772048552287237,-1.7320725509257213,0.0,0.0,铅钡,风化
37,3.066275217526276,0.0,-2.499743317417439,-1.146601163614449,0.0,-0.02943546705059152,0.0,0.07187273140228675,1.8171649178770495,1.3059525217217856,-0.6516309116382525,-2.201250328861443,0.0,0.26739580005477737,铅钡,无风化
38,2.7567793988657048,-0.4155211983534548,0.0,-1.1232671783345525,0.0,0.20630120138456037,-1.9754790535241855,-1.0523154423622683,3.1605222027134667,1.5437567590198509,-1.4715738726027685,-1.6292028168063517,0.0,0.0,铅钡,风化
39,2.230992284655548,0.0,0.0,-0.9323136890578416,0.0,-1.7298208849420298,0.0,-1.1645070758919696,3.074691842174319,0.9401812485226503,-0.8882536992638114,-1.5309700261968646,0.0,0.0,铅钡,风化
40,1.9009912724351246,0.0,0.0,-0.28907763930568264,0.0,-1.7135237663899494,-2.5757472769938285,0.0,3.3364746808569796,0.9855978039679594,-0.3440365235864401,-1.3006785509841625,0.0,0.0,铅钡,风化
41,1.811558213737444,0.0,-1.9250285674070924,0.4973577253995738,-0.09974640614039393,0.0989242886550902,-0.5218323954845986,-2.7647792221589134,2.6828651790480396,1.1742443850877389,0.9055073988784073,-1.8590705996152952,0.0,0.0,铅钡,风化
42未风化点1,3.2333090949279106,1.0438575843234608,-2.6007216108938955,-0.9393239595290842,-0.617423929766962,0.557696244937191,0.0,0.2784768464041438,2.381971351545766,1.6449123988744312,-3.22933027031627,-1.753423750506692,0.0,0.0,铅钡,无风化
42未风化点2,2.3262102704338115,0.12488612659465985,-2.661887230637078,0.0,-1.463645101020127,0.12135878607669137,0.0,-0.6114332258304942,1.3896492390931383,0.7748611352893965,0.0,0.0,0.0,0.0,铅钡,无风化
43部位1,1.1958428116485018,0.0,0.0,0.3336617107649367,-1.4391936038239657,-0.5117295713516854,-1.5970966332697745,0.35443677333990103,2.7691816444359683,0.6638437584525527,0.0,-1.7689468901964336,0.0,0.0,铅钡,风化
43部位2,1.7143097725225795,0.0,0.0,0.49329550234179187,-1.4142957824113849,-0.13629019672840884,-1.033698740881234,-0.9508928371970012,2.43808895669703,-0.18127529264521808,1.1887836906037108,-2.118025072301867,0.0,0.0,铅钡,风化
44未风化点,3.2337931286105803,0.24560558495726717,-2.4822472434411225,-0.11200350197326216,0.0,1.668004950719274,-1.1341740951414299,-1.7167794013015512,1.7379954856563524,0.7796880708875251,0.0,-2.2198829789736316,0.0,0.0,铅钡,无风化
45,3.4072389520910917,0.2701115494523635,-2.9154894865309653,-0.882567960486022,-1.009319666125166,0.9012233390928561,0.0,-1.3430928457772138,2.0637489535046187,1.686037708178625,0.0,-2.177890543400186,0.0,0.0,铅钡,无风化
46,3.1748302800117894,0.0,-2.2226081774040547,0.0,-0.3234901898555003,0.7302165951386599,0.0,-1.0976785804185714,2.392512339437205,1.4722533483874292,-2.4457517287182644,-1.6802838865786929,0.0,0.0,铅钡,无风化
47,3.2796602863032067,0.8763175292165423,-1.9005722749226295,-0.8019599862545199,-1.1569942407357923,0.4557169970432771,0.0,-1.0934808350134664,2.5720512551034784,1.5597611295937486,-2.9652830119150577,-0.8252168484187872,0.0,0.0,铅钡,无风化
48,3.1058054831721176,-1.093837092754603,-2.010127824628758,0.16604334350962893,-0.43891112501485546,1.7430459801905756,-0.8411347391988487,0.0,1.8836039108271367,1.1185497323212938,-0.7753833616360682,-2.256987902560284,-0.600666404227333,0.0,铅钡,风化
49,1.902897442437908,0.0,0.0,0.06456833593991718,-1.0718682613955315,0.22555771198751662,-0.44917274178619754,-1.8138056061249088,2.0745100155012683,0.35115810899308914,0.9498144461321121,-2.2336594516851727,0.0,0.0,铅钡,风化
49未风化点,3.1046177635588355,0.0,-2.0995720569311627,-0.16323135889200002,-0.7132776958112721,0.9762029242963647,-0.6565823521347268,-1.6941069488229983,2.2407641506885096,0.5371014813288197,0.5676561496507924,-2.0995720569311627,0.0,0.0,铅钡,无风化
50,1.8090053566790472,0.0,0.0,0.07976624443232605,-1.83527725664246,-0.4543162414979318,-2.188917296886038,-0.9580370396401781,2.703934961553834,1.5729872922427879,0.7666240960847075,-1.4957701163260928,0.0,0.0,铅钡,风化
50未风化点,2.582229803666453,0.0,0.0,-0.08704402999074255,-1.8410631712359504,0.20063804246103836,0.0,-1.581551975750866,2.1964497211451874,0.6028928749389546,0.622001736637001,-2.6945530018710753,0.0,0.0,铅钡,无风化
51部位1,2.0140536691279793,0.0,0.0,0.08626360513762375,-1.0151458881515472,0.46912888132854724,-1.0151458881515472,-0.8742884554349516,2.505762330516499,1.0014363939104376,0.9027648664034078,-2.13070773513343,-1.944121779553018,0.0,铅钡,风化
51部位2,1.6935086216634458,0.0,0.0,0.26756254117149014,-0.9959795615787048,-0.44726036486749554,-2.235043685715911,-1.655225190462969,2.5709270574318066,0.0,0.8015105823583353,0.0,0.0,0.0,铅钡,风化
52,2.436446736911367,-0.6127486065114482,0.0,0.00818036623669788,-1.4094364660122338,-0.6631794601383402,-2.281275435315555,-1.1682744091953459,3.047444615380646,1.344803117559351,0.9306195584113054,-1.6325800173264438,0.0,0.0,铅钡,风化
53未风化点,3.3908083248049388,0.3491094183691224,-2.970023010238729,-1.0112094563475074,-0.631719834642604,1.0389617030322151,0.0,-1.3789342364728248,1.851723757093636,1.4333647514345211,0.0,-2.07208141703277,0.0,0.0,铅钡,无风化
54,1.9144979159849158,0.0,-2.3286257822625323,-0.029170582277414203,-0.9423314211426417,0.23391683516843964,0.0,-1.3755210772656608,2.8264705411134647,0.7624166710957837,0.25537177016969903,-1.3170248705840522,0.0,0.0,铅钡,风化
54严重风化点,1.2166071555509446,0.0,0.0,0.0,-1.5186959170289147,-0.3283287647587575,0.0,-1.3303863183903377,2.445286827329942,0.0,1.0252442643432786,-1.5097272470461545,0.0,0.0,铅钡,风化
55,2.6733541747700005,-0.22172154925984633,0.0,-1.0964525514272065,0.0,-0.8471066277189727,0.0,-1.3694930738860394,2.2754101916574134,0.8545017445147848,-2.2684923086501336,0.0,0.0,0.0,铅钡,无风化
56,1.7536030877780435,0.0,0.0,-1.428231465409808,0.0,-1.003666185928224,0.0,-1.8545741585395275,2.1007992877622326,1.1187571783252968,-0.6866877439880126,0.0,0.0,0.0,铅钡,风化
57,1.386720093610307,0.0,0.0,-1.578789034937941,0.0,-1.0694912953500033,0.0,-1.700396167032728,1.9600660743576317,1.0018903293527321,0.0,0.0,0.0,0.0,铅钡,风化
58,2.316326433825355,0.0,-2.176596834475277,0.1521145631109888,-1.333509506624417,0.16067381650665874,-1.2486100628379306,0.04324583144871466,2.5747088017600652,0.938224810649153,1.098325675380182,-2.524903528743493,0.0,0.0,铅钡,风化
